str	Força	Strength
change_energy	Custa VAL este combate	costs VAL for this battle
knightarcher	Arqueiro	Bowman
event_card2_1_txt	Escolha uma carta incomum	Choose a uncommon Card
event_upgrade_2_txt	Melhore duas cartas do baralho	Upgrade two cards in your deck
destiny	Destino	Destiny
potionless_hint	Não pode mais obter poções	You can no longer obtain potions
gnome_rifle_hint	Metódicos, continuarão a atacar disciplinadamente	Methodical, they will simply keep on loading and firing in a disciplined manner.
dex	Destreza	Dexterity
stat_elites1	Elites fracos mortos	Weak Elites Killed
amulet_1	Amuleto de Sobrevivência do Fogo	Fire Amulet of Survival
extrax_hint	Quando jogar uma carta de custo X, os seus efeitos são aumentados por VAL	Whenever you play a cost X card, its effects are increased by VAL
intend_dmg	Atacando	attacking
airgolem_hint	Ar puro selado por magia para andar entre os vivos	Pure air sealed by magic to walk amongst the living
change_hand_ctype_1_true	Mude um ataque	Change one Attack
elf	Elfo	Elf
event_relic3_1_txt	Receba uma Relíquia rara aleatória	Receive a random rare Relic
missing_hp_to_dmg	Faça dano igual ao HP em falta	Deal damage equal to missing HP
renekton	Renecton	Renecton
dmgmultiply3	O dano de ataque é triplicado	Attack damage is Tripled
goblin_elder_hint	Um velho xamã, pode evocar feitiços poderosos	An elder shaman. He can cast powerful spells.
helm_7	Capacete  	Just Helm
event_empty_hand	Quando não tiver cartas	Whenever you have no cards
vampire	Vampiro	Vampire
resize	redimensionar	Resize
set02_armor	Super Armadura	Super Armor
poisonMlt2	Duplique o Veneno de um inimigo	Double an enemy's Poison
event_relic4_1_txt	Receba uma Relíquia de Chefe aleatória	Receive a random Boss Relic
question_victory	Vitória?	Victory?
ring13	Anel da Terra de Veneno	Earth Ring of Poison
shield_5	Escudo de madeira vermelha	Redwood Shield
intangible_hint	Reduz todo o dano ao HP que receber para 1	Reduces all damage and HP loss you take to 1
hand_discard_all_false	Descarte todas as cartas	Discard all Cards
beast_spear	Lança da Besta	Beast Spear
event_relic_txt	Receba VAL	Receive VAL
event_heal_txt	Cure VAL HP	Heal for VAL HP
hero_shiva	Shiva	Shiva
spear_5	Lança de Prata dos Anões	Mithril Spear
too_much_potions	Demasiadas Poções	Too Much Potions
trol_hint	Besta gigante verde. Uma criatura solitária que vive debaixo de pontes	Giant green beast. A very lonely creature that lives under bridges.
nulify	Anular	Nullify
crossbow_2	Besta de Teca	Teak Crossbow
cotton_set	velho conjunto	Old set
strAddOnce	Ganhe VAL de força por um turno	Add VAL Strength for one turn
heal	Cura	Heal
dollofdecay	Boneca da Putrefação	Doll of Decay
vulnerable	Vulnerável	Vulnerable
rest_rest_lift	Levantamento	Lift
voodoo_hint	Aumenta a duração da nova boneca	Increases new doll duration
gnome_shooter	Conflituoso	Quarreller
skeletwarrior	Guerreiro de Osso	Bone Warrior
quest_curse3	Obtenha 3 maldições	Obtain 3 Curses
upgrade_hand_ctype_all_false_all	Melhore todas as cartas na sua mão pelo resto do combate	Upgrade ALL cards in your hand for this combat
poison	Veneno	Poison
axe_2	Machado de Ferro	Iron Axe
giant_rat_hint	Muito grandes para ignorar. Ratos enlouquecem quando provocados	They are too big to be let go. Rats go crazy when provoked.
event_potion_1_txt	Ganhe 1 poção aleatória	Pick 1 random potion
exhaust_hand_ctype_all_false	Exaure uma carta da sua mão	Exhaust a card in your hand
set06_boots	Botas Pretas	Black Boots
shield_6	Escudo de Bronze	Bronze Shield
rest_sleep_hint	Cure 30% do seu HP máximo(VAL)	Heal for 30% of your Max HP(VAL)
book_6	Livro do Fogo	Fire Book
axe_4	Machado de Adamantina	Adamantine Axe
event_cursed	Quando receber uma Maldição	Whenever you got Cursed
draw_hint	Pilha de descarte	Discard Pile
witch_hint	Velha maluca com pele enrugada, borbulhas e chapéu pontiagudo	Wicked old women who have wrinkled skin, pimples, and pointy hats.
rest_skull	Crânio	Skull
onPet	Por cada animal	For each Pet
revive_hint	Em caso de morte, cure VAL (funciona uma vez)	When you would die, heal to VAL (works once)
event_cardNone2_1_txt	Escolha uma carta sem cor incomum	Choose a uncommon colorless Card
scythe_3	Foice de Aço	Steel Scythe
set03_helm	Super Capacete	Super Helm
ring14	Anel de Ar de Veneno	Air Ring of Poison
shield10	Escudo de Prata dos Anões	Mithril Shield
staff_4	Bastão do Ar	Air Staff
gnome_mage_hint	O líder político e espiritual dos anões, o Thane é o seu poder final	The spiritual and political leader of dwarves, the Thane is its ultimate power.
ctype_5	Maldição	Curse
unlock	Desbloqueio	Unlock
loot	Saque	Loot
retainhand_hint	Mantenha a sua mão este turno	Retain your hand this turn
getAddDmgByAttr_handctype1	Ganha +VAL de dano adicional por cada Ataque na sua mão	Deals an additional +VAL damage for every Attack in hand
dollofdecay_hint	Um Inimigo aleatório perde Força por um turno	Random Enemy loses Strength for one turn
card_type_all_hand	Cartas na sua mão	cards in your hand
event_removecurses_all_txt	Remova todas as Maldições	Remove all Curses
cardontreasure_hint	Baús não pertencentes a Chefes agora contêm cartas	Non-Boss chests now also contain cards
blunder_3	Bacamarte de Aço	Steel Blunderbuss
card_type_1	Ataque	Attack
armor_hint	Reduz o dano pelo valor de Armadura	Reduces incoming damage by the amount of Armor
relic_names_hint	Nomes de itens- definidos por ação ou olhar	Items Names - Defined by action OR look
enlightenment_hint	Reduz o custo das cartas na sua mão por VAL turnos	Reduce the cost of cards in your hand to 1 for VAL turns
ifTargetIntend_dmg	Se um inimigo pretender atacar	If an enemy intends to attack
doubleskill1	Este turno a sua próxima Habilidade é jogada duas vezes	This turn, your next Skill is played twice
event_played_ctype1_x3	Sempre que jogar 3 Ataques num turno	Every time you play 3 Attacks in a single turn
tutorial_rbq_2	Jogue cartas defensivas para ganhar %b%Armadura%b% quando inimigos atacam %e%e%b%Armadura%b% reduz o dano mas %r%desaparece%r% no início do próximo turno	Play defensive cards to gain %b%Armor%b% when enemies are about to attack you.%e%e%b%Armor%b% reduces incoming attack damage but %r%wears off%r% at the start of next turn.
rest_brew_hint	Faça duas poções aleatórias	Brew two random potions
bigsmith_hint	Renegado em todo o lado- BarbaVermelha é resistente, esmagando os seus problemas com a sua grande arma	Outcast everywhere - Redbeard is tough, smashing problems with his enormous weapon.
robe_4	Manto do Herói	Hero Robe
rehand_draw_ctype_all_false	Retorne uma carta da sua pilha de descarte para a sua mão	Return a Card from your discard pile to your hand
event_played_not_1	Sempre que não jogar cartas de Ataque	Every time you play not Attack card
goblin_sniper_hint	Sorrateiro, mas mortífero em grupo	Sneaky, but very deadly in groups.
hand_exhaust_all_false	Exaure a sua mão	Exhaust whole Hand
rehand_deck_ctype_1_true	Escolha um ataque da sua pilha de compra e adicione-a a sua mão	Choose an Attack from your draw pile and place it into your hand
book_5	Livro Real	Royal Book
bow_4	Arco de carvalho	Oak Bow
show	Mostrar	Show
gnom_hint	Anões com martelos devastadores e que não temem magia	Dwarves wield devastating hammers and do not fear magic.
renekton_hint	Plumagem verde, com cara alerta e proeminente	Green of plumage, with alert face and raised fore.
event_played_ctype2_x3	Sempre que jogar 3 Habilidades num turno	Every time you play 3 Skills in a single turn
bronze_set	Conjunto de Bronze	Bronze set
shield_4	Escudo de carvalho	Oak Shield
blur	Névoa	Blur
ctype_3	Poder	Power
lifelink	Elo Vital	Life Link
diadem_4		Hero Diadem
spear_3	Lança de Aço	Steel Spear
armor	Armadura	Armor
onDraw	Quando sacar esta carta	Whenever you draw this card
rule_attack_hand_hint	Apenas pode ser jogada se todas as cartas na sua mão forem um Ataque	Can only be played if every card in your hand is an Attack
discard_hand_ctype_all_false_rnd	Descarte uma carta aleatória	Discard a random card
warrior	Guerreiro	Warrior
more	Mais Jogos	More Games
mag_blue	Mago	Wizard
amulet15	Amuleto Resistente do Vazio	Tough Void Amulet
dragonheads1	Hydra	Hydra
tutorial_rbq_welcome_1	Vem vindo Majestade! Clique na caixa azul para continuar.	Welcome your Majesty! Touch this bubble box to continue.
drawToDmg1	Faça 1 de dano por cada carta na sua pilha de descarte	Deal 1 DMG for each card in your discard pile
event_card3_rnd_txt	Obtenha uma carta rara aleatória	Obtain a random rare Card
evokePassiveX	Ative a Habilidade passiva do primeiro animal VAL vezes	Trigger the passive ability of first Pet VAL times
shield_9	Escudo de Adamantina	Adamantine Shield
hand_exhaust_1_false	Exaure todas as cartas que não sejam um Ataque da sua mão	Exhaust all non-Attack cards in your hand
hammer_5	Martelo de Prata dos Anões	Mithril Hammer
gui_size	Tamanho da Interface Gráfica	GUI Size
tutorial	Tutorial	Tutorial
dmgmultiply2	Dano de Ataque é duplicado	Attack damage is Doubled
rest_smith	Forjar	Smith
hammer_2	Martelo de Ferro	Iron Hammer
staff_5	Cajado do Vazio	Void Staff
change_deck_ctype_1_true_1	Escolha uma carta de Ataque: no início dos combates, esta carta estará na sua mão	Choose an Attack card: at the start of each combat, this card will be in your hand
mag_black		Necros
potion_slot	Espaço para Poções	Potion Slot
event_upgraderandom_2_txt	Melhore duas cartas aleatórias	Upgrade two random cards
deckToEnergy	Ganhe 1 de energia por cada VAL cartas na sua pilha de compra	Gain 1 Energy for every VAL cards in your draw pile
event_samecardinhand	Se tiver duplicados na sua mão	If you have duplicates in your hand
orc_hint	Estes soldados são comida para as hordas de orcs	These soldiers are the fodder for the orc hordes.
rest_brew	Infusão	Brew
rehand_trash_ctype_all_false	Adicione uma carta da pilha de cartas Exauridas para a sua mão	Place a card from your Exhausted pile to your hand
set01_amulet	Amuleto Vermelho	Red Amulet
question_upgrade	Melhorar?	Upgrade?
do_this_VAL_times	Faça-o VAL vezes	do it VAL times
doubleheavytap1	O primeiro Ataque de custo 2 ou acima é jogado duas vezes	The first Attack that costs 2 or more is played twice
sandspear	Defensor de areia	Sand Defender
set06_staff	Cajado de crânios	Staff of Skulls
charm	Charme	Charm
set05_armor	Armadura de Rá	R`ha Armor
boots10	Botas Reais	Royal Boots
moregames_opens_browser_getit		Get It
amulet_9	Amuleto de Ar do Caçador Mágico	Air Amulet of the Magic Hunter
amulet_6	Amuleto de Fogo do Caçador Mágico	Fire Amulet of the Magic Hunter
set03_mace	Super Clava	Super Mace
ok	OK	Ok
exhaust_hand_ctype_4_true_rnd	Exaure uma Condição na sua mão	Exhaust a random Status in your hand
ring_4	Anel de Ar do Caçador Mágico	Air Ring of Magic Hunter
scythe_1	Foice de Bronze	Bronze Scythe
lives_hint	Na morte, cure 50% do seu HP máximo ao invés de morrer (funciona 1 vez)	When you would die, heal to 50% of your Max HP instead (works once)
event_transform_1_txt	Transforme uma carta no seu deck	Transform a card in your deck
amazon_hint	Guerreiros feroses e implacáveis da floresta tropical	Fierce merciless warriors of the rainforest.
money_heals	Sempre que ganhar ouro, cure VAL HP	Whenever you gain Gold, heal VAL HP
staff_air	Bastão do Ar	Air Staff
bastard_hint	Usa força bruta e fúria no combate	Uses brute strength and raw fury to excel in combat
exhaust_fail	Exauro Falhado	Exhaust Failed
doubleaxe_3	Duplo Machado de Aço	Steel Double Axe
sandpriest	Sacerdote da areia	Sand Priest
set04_whip	Super Chicote	Super Whip
hiddennoenemies_hint	Inimigos normais não são mais encontrados em salas ?	Regular enemies are no longer encountered in ? rooms
achievements	Conquistas	Achievements
dark_archer	Arqueiro negro	Dark Archer
vampire_red_hint	Líder de uma sociedade Real que procura o sangue mais fresco	Leader of a royal society that seeks the freshest blood.
helm_1	Capacete de Bronze	Bronze Helm
to_enemy	Para o inimigo	to enemy
trol	Troll	Troll
earth_set	Conjunto da Terra	Earth set
blinded_hint	Não pode mais ver as intenções do inimigo	You can no longer see enemy Intents
copy_hand_ctype_2_false_2	Crie duas cópias de uma carta que não seja Habilidade na sua mão	Create two copies of a non-Skill card in your hand
doublepower1	Este turno, o seu próximo Poder é jogado 2 vezes	This turn, your next Power is played twice
vamp_hint	Cure pontos de vida equivalentes ao dano não bloqueado	Heal HP equal to unblocked damage
highelf_evil_hint	Este Elfo apenas sai de noite para caçar as suas presas	This elf comes out only at night to stalk prey.
highelf_evil	Explorador negro	Dark Scout
elf_evil_hint	Este Elfo apenas sai de noite para caçar as suas presas	This elf comes out only at night to stalk prey.
scrolls	Pergaminhos	Scrolls
pause	Pausa	Pause
event_removecard_specific_txt	Remova todas as cópias de NAME	Remove all copies of NAME
set02_ring	Anel Mágico	Magic Ring
event_played_3	Por cada carta de Poder jogada	For every Power Card played
drawless_hint	Saque menos 1 carta no(s) proximo(s) VAL turno(s)	draw 1 less card next VAL turn(s)
cost	Custo	Cost
mag_evil_hint	Mago meio morto que quase descobriu o feitiço de vida eterna	Half-dead mage who almost discovered the spell of eternal life.
event_dublicate_1_txt	Duplique uma carta do seu baralho	Duplicate a card in your deck
quiver_2	Pontas mágicas	Magic Tips
draw1	Saque uma carta	Draw 1 Card
vampire_red	Vampiro Real	Royal Vampire
vampire_violet_hint	Membro de uma sociedade Real que procura o sangue mais fresco	Member of a royal society that seeks the freshest blood.
vampire_violet	Vampiro Nobre	Noble Vampire
airbow	Arco do Ar	Air Bow
airbow_hint	Armadura encantada com arco	Enchanted armor with a bow.
vampire_hint	Velho morto-vivo que procura sangue para sobreviver 	Very old undead that seeks fresh blood to keep him alive
scroll_earth	Pergaminho da Terra	Earth Scroll
transfer_kill_rnd	Quando um inimigo morrer, transfira qualquer CONDITION para um inimigo aleatório	Whenever an enemy dies, transfer any CONDITION it has to a random enemy
blur_hint	Armadura não é removida no início do próximo turno	Armor is not removed at the start of your next turn
airsword_hint	Armadura encantada com espada	Enchanted armor with a sword.
unlimited_hint	Pode ser melhorada qualquer número de vezes	Can be upgraded any number of times
ifTargetCONequalVAL	Se o alvo tiver CON igual a VAL	If target got CON equals to VAL
airgolem	Golem do Ar	Air Golem
healing	Cura	Healing
orc_beast_hint	Besta verde criada por magia Élfica corrompida	Green Beast created by corrupted elven magic.
change_hand_ctype_all_false_all	Mude todas as cartas da sua mão	Change all cards in your hand
event_loserelics0_1_txt	Perca a sua Relíquia inicial	Lose starting Relic
stat_bosses	Chefes derrotados	Bosses Slain
blunder_4	Bacamarte de Adamantina	Adamantine Blunderbuss
diadem_5		Royal Diadem
orc_beast	Besta orc	Orc Beast
orc_heavy_hint	Todo o décimo orc é mais forte que os outros- cuidado!	Every 10th Orc is stronger then the others - beware!
scroll_void	Pergaminho do Vazio	Void Scroll
event_cardNone2_rnd_txt	Obtenha uma carta sem cor incomum aleatória	Obtain a random uncommon colorless Card
amulet14	Amuleto resistente do Ar	Tough Air Amulet
poisonadd	Quando aplicar Veneno, aplique VAL de veneno adicional	Whenever you apply Poison, apply an additional VAL Poison
spiderling_hint	Pequeno- mas muito venenoso	Small - but still deadly venomous.
set03_armor	Super Armadura	Super Armor
event_relic1_1_txt	Receba uma Relíquia comum aleatória	Receive a random common Relic
veigar_hint	Costumava ser pequeno e fofo, mas uma velha maldição transformou-o no pior pesadelo do Japão	Used to be small and cute, but an old curse turned him into Japan's worst nightmare.
amulet_2	Amuleto de sobrevivência da água	Water Amulet of Survival
_times	TIMES vezes	TIMES times
bomb_5	Bomba Real	Royal Bomb
discard_hand_ctype_all_false	Descarte uma carta	Discard 1 card
tutorial_rbq_welcome_2	Com quem quer jogar hoje? Pode escolher qualquer Herói para se aventurar	With whom you wanna play today? You can choose any hero to adventure forth.
resthealper5cards	Quando entrar num Local de Descanso- por cada 5 cartas no baralho cure	Whenever you enter a Rest Site - for every 5 cards in your deck heal
veigar	Veigar	Veigar
turntrue	No fim do seu turno	At the end of your turn
boots_1	Botas de Bronze	Bronze Boots
sandpriest_hint	Espírito de um sacerdote do deserto, defendendo o seu mestre	Spirit of a desert priest, defending his master.
sandspear_hint	Espírito de um guerreiro do deserto, defendendo o deu mestre	Spirit of a desert warrior, defending his master.
event_card2_rnd_txt	Obtenha uma carta incomum aleatória	Obtain a random uncommon Card
quit_game	Tem certeza que quer sair?	Are you sure want to quit?
remove_card_hint	Remova NAME do seu baralho	Remove NAME from the deck
evokeX	Evoque seu próximo animal VAL vezes	Evoke your next Pet VAL times
golem_hint	Gigante de pedra. muito lento para distinguir inimigo de aliado	Big stone giant. To slow to understand foe from ally.
golem	Gigante de pedra. muito lento para distinguir inimigo de aliado	Stone Giant
event_relic2_1_txt	Receba uma relíquia incomum aleatória	Receive a random uncommon Relic
fire_set	Conjunto de Fogo	Fire set
tax_collector_hint	O pilar de um Império. Coleta impostos de casas próximas	Pillar of an empire. Collects taxes from nearby houses.
card_type_2_hand	Cartas de Habilidade na sua mão	skill cards in your hand
goblin_axe	Machado verde	Green Axe
shield_2	Escudo de teca	Teak Shield
if_draw_card	Se a carta for TYPE	If the card is a TYPE
stat_elites2	Elites fortes mortos	Strong Elites Killed
frail_hint	Reduz a armadura em 25%	Reduces the Armor by 25%
mermaid_hint	Beleza aquática que manobra o seu tridente como um pro	Aquatic beauty that swings her trident like a pro.
cancel	Cancelar	Cancel
linen_set	Conjunto Nobre	Noble set
close	Fechar	Close
mermaid	Sereia	Mermaid
event_quest	Quando entrar numa sala ?	Whenever you enter a ? room
skeletmage_hint	Outrora um grande mago, antes de ser derrotado por um bárbaro	A once-great mage, before being slain by a barbarian
candlered_hint	Cartas de Condição podem agora ser jogadas. Exaura a carta	Status cards can now be played. Exhausts the card
skeletmage	Mago de osso	Bone Mage
battle	Batalha	Battle
spider_hint	Aranhas venenosas que atacam humanos fracos	Poisonous spiders that prey on weak humans.
royal_booty_quest	Royal Booty Quest- Demanda pelo Tesouro Real	Royal Booty Quest
spider	Aranha 	Spider
garpy_hint	Criaturas voadoras esganiçadas que caçam aldeões locais por desporto	Shrill flying creatures that hunt local villagers for sport.
play	Jogar	Play
garpy	Harpia	Harpy
energyAddX	Ganhe VAL energia	gain VAL Energy
medusa_hint	Uma mulher horrenda com cobras venenosas ao invés de cabelo	A hideous woman with venomous snakes in place of hair.
to_rndmiss	Para inimigos aleatórios	to random enemies
boots_4	Botas de Adamantina	Adamantine Boots
warrior_hero_hint	Luta bem corpo a corpo	Fights well in melee.
medusa	Medusa	Medusa
book_1	Velho livro	Old Book
goblin_sniper	Goblin verde Arqueiro	Green Goblin Archer
confirm	Confirmar	Confirm
healing_hint	Cura é mais efetiva em combate	Healing is more effective during Combat
dragonheads3_hint	Tem bafo venenoso e sangue tão virulento que só o cheiro é mortífero	Has poisonous breath and blood so virulent that even its scent was deadly
event_potion_3_txt	Pegue 3 poções aleatórias	Pick 3 random potion
dragonheads2	Hidra	Hydra
robe_unique	Manto Mágico	Magic Robe
dollofacid	Boneca de Ácido	Doll of Acid
entangled_hint	Incapaz de utilizar cartas de Ataque por um turno	Unable to use any Attack cards for 1 turn
set02_boots	Super Botas	Super Boots
cape_5	Manto Real	Royal Cape
