str	Força	Strength
donations_extras	Doações e Extras	Donations & Extras
str_times	VAL*(TIMES) Força	VAL*(TIMES) Strength
rope_set	Conjunto comum	Common set
berserk_hint	Se os Pontos de Vida estiverem a ou a menos, ganhe ENERGY no início do seu turno	If your HP is at or below, gain ENERGY at the start if your turn
orc_heavy	Chefe de guerra orc	Orc Warchief
undecidedloot	Saque não decidido	Undecided Loot
scroll_water	Pergaminho de água	Water Scroll
create_rarity_1_x1	Adicione uma carta comum aleatória à sua mão	Add a random Common card into your hand
options	Opções	Options
scroll_fire	Pergaminho de fogo	Fire Scroll
shield_1	Escudo de pinho	Pine Shield
goblin_elder	Xamã	Shaman
set03_pwr	Poder verde	Green Power
axe_5	Machado de prata dos anões	Mithril Axe
goblin_shaman	Xamã	Shaman
weak	Fraqueza	Weak
shift_hint	Após receber VAL dano, muda para um modo especial	After taking VAL damage, shifts to a special mode
bastard	Bárbaro	Barbarian
hero_miss_fortune_hint	Uma Capitã dos Grandes Mares, conhecida pela sua bela aparência mas temida pela sua crueldade	A Bilgewater captain famed for her looks but feared for her ruthlessness.
scythe_2	Foice de Ferro	Iron Scythe
book10	Livro do Vazio	Void Book
set05_helm	Capacete de Rá	R`ha Helm
book_8	Livro da Terra	Earth Book
book_7	Livro da Água	Water Book
change_deck_ctype_3_true_1	Escolha uma carta de Poder: no início do combate, esta carta estará na sua mão	Choose a Power card: at the start of each combat, this card will be in your hand
event_relic_1_txt	Receba uma Relíquia aleatória	Receive a random Relic
robe_1	Manto velho	Old Robe
sword_2	Espada de Ferro	Iron Sword
book_3	Livro Nobre	Noble Book
zombe_hint	Um corpo reanimado a partir de magia negra	An animated corpse raised by witchcraft.
bow_3	Arco de nogueira	Hickory Bow
boots_9	Botas do Herói	Hero Boots
boots_8	Botas Nobres	Noble Boots
pirate	Pirata	Pirate
boots_5	Botas de Prata dos Anões	Mithril Boots
boots_2	Botas de Ferro	Iron Boots
ent		Ent
musket_5	Mosquete de Prata dos Anões	Mithril Musket
one_of_the_skulls_stuck	Um dos Crânios preso na porta	One of the Skulls stuck in Door
removing_not_possible	Está presa	Its stuck
gnome_sekira	BarbaCinza	Greybeard
musket_3	Mosquete de Aço	Steel Musket
event_card1_1_txt	Escolha uma carta comum	Choose a common Card
musket_2	Espingarda de Ferro	Iron Musket
musket_1	Espingarda de Bronze	Bronze Musket
to_enemies	A todos os inimigos	to all enemies
rest_rest_voodoo	Voodoo	Voodoo
blunder_1	Bacamarte de Bronze	Bronze Blunderbuss
rest_sleep	Dormir	Sleep
bomb_4	Bomba do Herói	Hero Bomb
gnome_trooper	Martelador	Hammerer
discount_by_discard	Custa menos 1 por cada carta descartada este turno	Cost 1 less for each discarded card this turn
doubleskill2	Este turno, as próximas 2 habilidades são jogadas duas vezes	This turn, your next 2 Skills are played twice
bomb_1	Bomba velha	Old Bomb
crossbow_5	Besta de madeira vermelha	Redwood Crossbow
sadistic_hint	Quando aplicar um Enfraquecimento a um inimigo, ele recebe dano	Whenever you apply a Debuff to an enemy, they take DMG damage
electrodynamics_hint	Relâmpago agora atinge todos os inimigos	Lightning now hits ALL enemies
bow_2	Arco de teca	Teak Bow
preventdmg2	Previna as próximas 2 vezes que perderia Pontos de Vida	Prevent the next 2 times you would lose HP
crossbow_4	Besta de nogueira	Oak Crossbow
actX	Ato VAL	Act VAL
crossbow_3	Besta de nogueira	Hickory Crossbow
axe_3	Machado de Aço	Steel Axe
doubleaxe_5	Duplo Machado de Prata dos Anões	Mithril Double Axe
lockon	Mirar	Lock-On
highelf_hint	Guardiões da floresta, mestres da lança	Guardians of the forest, masters of the spear.
event_exhausted	Quando Exaurir uma carta	Whenever you Exhaust a card
refund_card	Ganhe Energia igual ao custo	Gain Energy equal to its cost
set01_boots	Super Botas	Super Boots
lose_stuff	Perca Força	Lose ATTR
doubleaxe_1	Duplo Machado de Bronze	Bronze Double Axe
doubletap1	Este turno o próximo Ataque é jogado duas vezes	This turn, your next Attack is played twice
create_ctype_3_x1	Adicione 1 carta de Poder aleatória à sua mão	Add 1 random Power card to your hand
shield_8	Escudo de Aço	Steel Shield
rune_void	Runa do Vazio	Void Rune
hero_shaman	Xamã	Shaman
card_type_1_played	Cartas de Ataque jogadas este turno	attack cards played this turn
event_upgrade_1_txt	Melhore uma carta do seu baralho	Upgrade a card in your deck
strNext	Força no próximo turno	Strength Next Turn
intangible	Intangível	Intangible
pick_one_hint	Pode escolher um(a)	You can pick one
skeletarcher_hint	Arqueiros sem alma que usam os próprios ossos como munição	Soulless archers that use their own bones as ammo.
event_card_txt	Adicione VAL	Add VAL
rest_rest_poisonadd	Recolha	Gather
event_transform_2_txt	Tranforme 2 cartas do seu baralho	Transform two cards in your deck
change_energyTemp	Custa VAL este turno	costs VAL for this turn
warrior_hint	Luta bem corpo a corpo	Fights well in melee.
armor_5	Armadura de Prata dos Anões	Mithril Armor
copy_this_to_draw	Coloque uma cópia desta carta na sua pilha de descarte	Place a copy of this card into your discard pile
goblin_sword_hint	Goblin simples que ama a vida com uma espada	Simple, life-loving goblin with a sword.
ctype	Tipo de carta	Card Type
harm	Dor 	Harm
armor_3	Armadura de Aço	Steel Armor
quest_relic3	Obtenha 3 Relíquias	Obtain 3 Relics
armor_2	Armadura de Ferro	Iron Armor
warrior_defender	Cavaleiro 	Knight
continue	Continuar	Continue
onConditions_purge_voodoo_true	Executar todas as Bonecas	Execute All Dolls
donation_gold	Doação de Ouro	Gold Donation
doubleaxe_2	Duplo Machado de Ferro	Iron Double Axe
spike	Espinho	Spike
stat_floors	Andares Subidos	Floors Climbed
goblin_archer_hint	Sorrateiro e mortífero	Sneaky and deadly.
sandals_3	Sandálias Nobres	Noble Sandals
skelet	Esqueleto	Skeleton
knightsword	Espada da Fénix	Phoenix Sword
armorMlt2	Duplique a sua Armadura atual	Double your current Armor
chooseOneRandom3	Escolha 1 de 3 cartas aleatórias para adicionar à sua pilha de compra	Choose 1 of 3 random cards to shuffle into your draw pile
dragonheads3	Hidra	Hydra
event_hpmax_txt	VAL Pontos de HP máximo	VAL Max HP
book_4	Livro do Herói	Hero Book
rule_unplayable_hint	Não jogável	Unplayable
void_set	Conjunto do Vazio	Void set
sandals_5	Sandálias Reais	Royal Sandals
upgrade_all_ctype_all_false_all	Melhore todas as cartas este combate	Upgrade ALL cards for this combat
mithril_set	Conjunto de Prata dos Anões	Mithril set
event_unblocked_dmg	Quando um Ataque inflige dano	Whenever an attack deals damage
grim_reaper	Morte	Grim Reaper
confirming	Confirmando	Confirming
set	Conjunto  	Set
helm_4	Capacete de Adamantina	Adamantine Helm
master_volume	Volume Máximo	Master Volume
helm_3	Capacete de Aço	Steel Helm
event_battle_won	No fim da batalha	At the end of Battle
autoupgradepowers	Quando adicionar um Poder- este é melhorado	Whenever you add a Power - it is Upgraded
shop_remove_card_hint	O serviço de remoção de cartas do comerciante agora custa sempre 50 de ouro	The merchant's card removal service now always costs 50 Gold
adamantin_set	Conjunto de Adamantina	Adamantine set
event_harm	Quando auto-infligir Dor	Each time you Harm yourself
staff_3	Cajado da Terra	Earth Staff
login_money	Ganhe VAL ouro	Gain VAL Gold
staff_2	Cajado da Água	Water Staff
rest_remove_hint	Remova uma carta do baralho	Remove Card from your Deck
sound	Som	Sound
armor_times	Ganhe VAL armadura TIMES vezes	Gain VAL Armor TIMES times
corruption_hint	Cartas de Habilidade custam 0. Quando jogar uma Habilidade, Exaure-a	Skill cards costs 0. Whenever you play a Skill, Exhausts it.
total	Total	Total
ctype_1	Ataque	Attack
ctype_hint	Pode ser Ataque(1), Habilidade(2), Poder(3), Condição(4), Maldição(5)	Can be Attack(1), Skill(2), Power(3), Status(4), Curse(5)
money	Ouro	Gold
quest_upgradeskills2	Melhore 2 Habilidades aleatórias	Upgrade 2 random Skills
summons_VAL	Convoca VAL	Summons VAL
restheal	Cure VAL HP adicional ao dormir	Heal an additional VAL HP when you rest
played_3	Quando joga um Poder	Whenever you play a Power
_current_date		24/10/2018
spear_4	Lança de Adamantina	Adamantine Spear
bomb_2	Apenas Bomba	Just Bomb
spear_2	Lança de Ferro	Iron Spear
genie_hint	Feito de um fogo escaldante e sem fumo. Este está do seu lado	Made of a smokeless and scorching fire. This one is on your side.
ctype_4	Condição	Status
not_enought_energy	Energia insuficiente	Not enough Energy
scythe_4	Foice de Adamantina	Adamantine Scythe
removeatrest	Agora pode remover cartas em Locais de Descanso	You can now remove cards at Rest Site
drawUntilX	Saque até ter VAL na mão	Draw cards until you have VAL in hand
sheep	Ovelha	Sheep
change_hand_ctype_1_true_all	Todas cartas de Ataque na mão	All Attack cards in hand
enjoing_review	Gostaria de avaliar ou deixar uma opinião, para me dizer como o jogo está?	Would you like to rate or leave a review, to let me know how it's going?
hammer_3	Martelo de Aço	Steel Hammer
turn	Turno	Turn
staff_1	Cajado do Fogo	Fire Staff
cape_2	Apenas Capa	Just Cape
sword_3	Espada de Aço	Steel Sword
event_enemy_played_1	Quando um inimigo tiver jogado um Ataque	Whenever an enemy played an Attack
set01_armor	Super Armadura	Super Armor
event_cardNone3_rnd_txt	Obtenha uma carta rara sem cor aleatória	Obtain a random rare colorless Card
removing_by_name	Tem certeza de remover "NAME"?	Are you sure to remove "NAME"?
rune_air	Runa do Ar	Air Rune
relic_names	Nomes de Itens	Items Names
crossbow_1	Besta de pinho	Pine Crossbow
event_card1_rnd_txt	Obtenha uma carta comum aleatória	Obtain a random common Card
evokeReSummon	Convoque o Animal acabado de Invocar	Summon the Pet that was just Evoked
hero_demon	Demónio	Demon
book_9	Livro do Ar	Air Book
bow_1	Arco de pinho	Pine Bow
spiderling	Pequena aranha	Spiderling
cardonbattle_hint	Inimigos comuns soltam uma recompensa de carta adicional	Normal enemies drop an additional card reward
event_curse_3_txt	Obtenha 3 Maldições	Obtain 3 Curses
event_potion_used	Quando usar uma poção	Whenever you use a Potion
credits	Créditos	Credits
cape_4	Capa do Herói	Hero Cape
ent_hint	Grande árvore viva. inofensiva no sono, mortífera se acordada	Big living tree. Harmless while sleeping, deadly if awakened.
skeletwarrior_hint	Ele costumava ser um grande Cavaleiro, antes de levar com uma flecha no joelho	He used to be a great knight before he took an arrow to the knee.
event_card3_1_txt	Escolha uma carta rara	Choose a rare Card
donation_silver	Doação de Prata	Silver Donation
act2_tag	Ato2: Cidade	Act 2: City
donation_amber	Doação de âmbar	Amber Donation
emptychest	O próximo baú de Relíquia não pertencente ao boss estará vazio	The next non-boss relic Chest you open is empty
copy_hand_ctype_2_false	Crie uma cópia de uma carta que não seja Habilidade da sua mão	Create a copy of a non-Skill card in your hand
create_class_none_x1	Adicione uma carta sem cor aleatória à sua mão	Add a random colorless card to your hand
turn_enemy	Turno do inimigo	Enemy Turn
hero_sila	Sila	Sila
redeck_this_to_deck	Adicione uma cópia desta carta à sua pilha de compra	Place a copy of this Card to Draw Pile
event_shuffle	Sempre que embaralhar o seu baralho	Every time you shuffle your deck
dollofpain_hint	Inflija dano a um inimigo aleatório	Inflict Damage to Random Enemy
silk_set	Conjunto Real	Royal set
event_add_pet	Quando canalizar um Animal	Whenever you Channel a Pet
wristblade_hint	Ataques que custam 0 fazem VAL de dano adicional	Attacks that cost 0 deal VAL additional damage
transfer_kill_enemies	Quando um inimigo morre, transfira qualquer CONDITION que tenha para os inimigos	Whenever an enemy dies, transfer any CONDITION it has to all enemies
event_removecard_2_txt	Remova duas cartas do seu baralho	Remove two cards in your deck
evoke1	Invoque o seu próximo Animal uma vez	Evoke your next Pet once
redeck_draw_ctype_all_false	Adicione uma carta da sua pilha de descarte no topo da sua pilha de compra	Place a card from your Discard pile on top of your Draw pile
dollofpain	Boneca da Dor	Doll of Pain
quest_upgradeattacks2	Melhore 2 ataques aleatórios	Upgrade 2 random Attacks
restart	Reiniciar	Restart
voodoo	Voodoo	Voodoo
minotaur	Minotauro	Minotaur
copy_this_to_hand	Adicione uma cópia desta carta à sua mão	Place a copy of this card into your hand
hero_blood_mage_hint	Faz uso de rituais obscuros para aceder a magias poderosas. Deve estar aberta a sacrificar da própria força vital para carregar tais poderes.	Employ dark rites in order to access more powerful magic. She must be willing to sacrifice their own life force in order to wield this power.
onConditions_play_voodoo_true	Ative o efeito de cada boneca	Trigger effect of each Doll
enjoing_gname	Gostando de NAME?	Enjoying NAME?
diadem_3		Noble Diadem
onConditions_voodoo_true	Por cada tipo de Boneca	For each type of Doll
music	Música	Music
rest	descanso	Rest
onDiscard	Se esta carta for descartada	If this card is discarded
doubleplay1	A primeira carta que jogar será jogada duas vezes	The first card you play is played twice
turnfalse	No início de cada turno	At the start of each turn
retain_hint	Se jogada retorne para a mão	If played will return to hand
revive	Reviver	Revive
doubletap2	Este turno, os seus próximos 2 Ataques são jogados duas vezes	This turn, your next 2 Attacks are played twice
hammer_1	Martelo de Bronze	Bronze Hammer
discard_hand_ctype_4_true	Descarte 1 Condição	Discard 1 Status
back	Voltar	Back
hero_shaman_hint	Outrora realizava a possessão de espíritos em serviço dos Santuários. Com o passar do tempo, deixou os Santuários e começou a trabalhar de forma independente.	Once performed spirit possession in their service to shrines. As time passed, she left the shrines and began working independently.
onConditions_add_voodoo_true	Adicione VAL de poder por cada boneca	Add VAL power to each Doll
event_addedCtype4	Quando sacar uma Condição	Whenever you draw a Status
missing_string	STRING em falta	Missing STRING
hand_hint	Mão	Hand
class_none	Sem cor	Colorless
act1_tag	Ato1: Exórdio	Act 1: Exordium
hero_demon_hint	Ela deixou o Jardim de Éden e recusa-se a voltar. Assume a forma de uma linda mulher, mas inspeção cuidada revela garras afiadas e caudas em serpentina.	She left Adam and refused to return to the Garden of Eden. She may take a form of a beautiful girl but closer inspection may reveal bird-like claws and serpentine tails.
gnome_trooper_hint	Anões segurando grandes martelos e que não temem magia	Dwarves wield devastating hammers and do not fear magic.
money_bonus	Inimigos deixam mais VAL% de ouro	Enemies drop VAL% more Gold
strRmvOnce	Perca VAL de força por um turno	Lose VAL Strength for one turn
hero_frontier_hint	Guerreira Templar- Imbuída com o fogo do sol. A sua pele brilha como estrelas e os seu olhos queimam com o seu poder celestial dentro dela.	Warrior Templar - Imbued with the fire of the sun. Her skin shimmers with starfire while her eyes burn with the power of the celestial Aspect within her.
entangled	Emaranhado	Entangled
ring10	Anel mortífero do Vazio	Deadly Void Ring
event_armor	Quando ganhar Armadura	Whenever you gain Armor
flax_set	Conjunto do Herói	Hero set
upgrade_hand_ctype_all_false_rnd	Melhore uma carta aleatória da sua mão	Upgrade a random card in your hand
exhaust_hand_ctype_all_false_5	Exaure 5 cartas da sua mão	Exhaust 5 cards in your hand
warning_loot	Saque não decidido será perdido	Undecided Loot will be lost
axe_1	Machado de Bronze	Bronze Axe
autoupgradeattacks	Quando adicionar um Ataque- este é melhorado	Whenever you add an Attack - it is Upgraded
event_played_cards_5	Sempre que jogar 5 cartas num turno	Every time you play 5 cards in a single turn
evokePassive1	Ative a Habilidade passiva do seu primeiro Animal uma vez	Trigger the passive ability of first Pet once
card_type_5	Maldição	Curse
dmg	Dano	Damage
bow_5	Arco de madeira vermelha	Redwood Bow
event_enemy_played_any	Quando um inimigo tiver jogado uma carta	Whenever an enemy played a card
to_rnd	Para um inimigo aleatório	to random enemy
helm_2	Capacete de Ferro	Iron Helm
discard_hand_ctype_all_false_3	Descarte 3 cartas	Discard 3 cards
scythe_5	Foice de Prata dos Anões	Mithril Scythe
frail	Frágil	Frail
act5_tag	Ato5: Inalcançável	Act 5: Unreachable
stat_elites3	Elites inferno mortos	Hell Elites Killed
hero_blood_mage	Mago de Sangue	Blood Mage
set06_scythe	Foice vermelha	Red Scythe
consume_pain_txt	Consuma XXX pontos de dor para ganhar 1 ATTR	Consume XXX points of pain to get 1 ATTR
stat_skulls	Caveiras encontradas	Skulls Found
blinded	Cegueira	Blinded
hiddentreasure	É VAL% mais provável encontrar tesouro em salas ?	You are VAL% more likely to find treasure in ? rooms
dollofhope_hint	Cura todos os turnos	Heals every turn
create_ctype_1_x1	Adicione uma carta de Ataque aleatória à sua mão	Add a random Attack card to your hand
create_class_hero_x1	Adicione uma carta aleatória à sua mão	Add a random card to your hand
event_enemy_played_2	Quando um inimigo tiver jogado uma habilidade	Whenever an enemy played a Skill
skeletarcher	Arqueiro de Osso	Bone Archer
ring_8	Anel mortífero da Terra	Deadly Earth Ring
sword_1	Espada de Bronze	Bronze Sword
change_hand_ctype_all_false_rnd	Mude uma carta aleatória da sua mão	Change a random card in your hand
genie	Génio	Genie
event_turnEnd	No fim de cada turno	At the end of each Turn
set04_boots	Super Botas	Super Boots
create_class_none_x2	Adicione 2 cartas sem cor aleatórias à sua mão	Add 2 random colorless cards to your hand
gnome_range	Conflituoso	Quarreller
battlefervorMlt2	Duplique o seu BF atual	Double your current BF
event_upgraderandom_1_txt	Melhore uma carta aleatória	Upgrade one random card
innate_hint	Começe todos os combates com esta carta na mão	Always begin combat with this card in your hand
rest_rest_voodoo_hint	Ganhe poder voodoo extra	Get extra Voodoo Power
event_udmg	Se atingido	If damaged
for_each_enemy	Por cada inimigo	for each enemy
card_type_2	habilidade	Skill
easyenemies	Inimigos nos primeiros VAL combates têm 1 HP	Enemies in your first VAL combats will have 1 HP
discount_by_played_ctype3	Custa 1 de energia a menos por cada carta de Poder jogada este combate	Costs 1 less Energy for each Power card played this combat
unlimited	Ilimitado	Unlimited
poisonMlt3	Triplique o Veneno de um inimigo	Triple an enemy's Poison
scrap_hint	Sucata inútil	Useless scrap
rehand_deck_ctype_2_true	Escolha uma Habilidade da sua pilha de compra e coloque-a na sua mão	Choose a Skill from your draw pile and place it into your hand
rune_water	Runa da água	Water Rune
treasure	Tesouro	Treasure
bigsmith	Barbavermelha	Redbeard
artifact_hint	Nega o próximo Enfraquecimento	Mitigates the next Debuff
frozen_hint	Não pode sacar cartas este turno	You cannot draw any cards this turn
set04_armor	Super Armadura	Super Armor
lockon_hint	Animais aplicam 50% de dano extra a este inimigo	Pets deal 50% more damage to this target
shield_hint	Ganhe VAL de Armadura(quando receber dano não bloqueado, perca um ponto)	Gain VAL Armor (Whenever you take unblocked damage, lose one stack)
event_upgrade_specific_txt	Melhore todas as cópias de NAMES	Upgrade all copies of NAMES
onExhaust	Ao Exaurir	on exhaust
relicstoheal	Tenha a opção de dormir ao invés de pegar uma Relíquia	Get the option to rest instead of picking a relic
drawX	Saque VAL cartas	Draw VAL Cards
ifTargetHpLess	Se o HP estiver a ou abaixo de VAL%	If HP is at or below VAL%
more_games	Mais Jogos	More Games
rest_rest_poisonadd_hint	Ganhe Veneno extra	Get an Extra Poison
sword_5	Espada de Prata dos Anões	Mithril Sword
trash_hint	Pilha de Cartas Exauridas	Exhausted Pile
act4_tag	Ato4: Demasiado Longe	Act 4: Too Far
start	Começar	Start
event_cardNone1_rnd_txt	Obtenha uma carta sem cor comum aleatória	Obtain a random common colorless Card
ctype_2	habilidade	Skill
act3_tag	Ato3: Além	Act 3: Beyond